Feature,r_pearson,|r|,p_valor
lag_1,0.8148574439205146,0.8148574439205146,0.0
media_movil_15,0.6253173057944076,0.6253173057944076,0.0
media_movil_30,0.5556531159789555,0.5556531159789555,0.0
media_movil_60,0.4928547849696342,0.4928547849696342,0.0
lag_5,0.40193698028944747,0.40193698028944747,0.0
min_movil_60,0.37392646855238815,0.37392646855238815,0.0
max_movil_60,0.36400306368365615,0.36400306368365615,0.0
std_movil_60,0.3371789071362774,0.3371789071362774,0.0
lag_15,0.2875045354488906,0.2875045354488906,0.0
media_movil_1440,0.2607344465189404,0.2607344465189404,0.0
lag_30,0.23459455943513993,0.23459455943513993,0.0
lag_60,0.1860335993493054,0.1860335993493054,0.0
std_movil_1440,0.18106677887244746,0.18106677887244746,0.0
lag_1440,0.16871865445887754,0.16871865445887754,0.0
mes_cos,0.16856792829198644,0.16856792829198644,0.0
dia_anyo_cos,0.16812232958094483,0.16812232958094483,0.0
lag_2880,0.15282734545523144,0.15282734545523144,0.0
lag_10080,0.13579936286359992,0.13579936286359992,0.0
anyo,-0.0572821209852936,0.0572821209852936,0.0
hora_cos,0.0427821548046163,0.0427821548046163,4.77053223780505e-288
es_festivo_uk,0.03389369386006559,0.03389369386006559,1.6204445878355708e-181
dia_mes,0.029085833079889285,0.029085833079889285,3.454451041185487e-134
mes_sin,-0.027910892233216446,0.027910892233216446,1.0163860825458783e-123
hora,-0.023541224329363966,0.023541224329363966,1.4514315562022768e-88
dia_semana_cos,0.02263784990798366,0.02263784990798366,4.865633258991338e-82
dia_anyo_sin,0.020893861469813698,0.020893861469813698,3.676673908811479e-70
hora_sin,0.014632583254395187,0.014632583254395187,2.6027802534587045e-35
dia_semana_sin,0.01173940812104628,0.01173940812104628,2.5647023004999084e-23
minuto,-0.009932537388877085,0.009932537388877085,3.861022882765708e-17
trimestre,-0.007920431841408808,0.007920431841408808,1.921291644716525e-11
semana_anyo,-0.007080720993951207,0.007080720993951207,1.9697602275367806e-09
dia_semana,-0.005196864563048397,0.005196864563048397,1.0634401921328491e-05
es_finde,0.003309060621866806,0.003309060621866806,0.005045614291990419
dia_anyo,0.00291975807410615,0.00291975807410615,0.013353135264734672
mes,-4.201423694769654e-06,4.201423694769654e-06,0.997159306955912
