feature,15,60,1440
hora,40127439140.0,76143910892.0,32623132358.0
minuto,4476595228.0,9247067718.0,897228290.0
dia_semana,4920586376.0,9428008718.0,18164043224.0
dia_mes,5414036310.0,7870221810.0,17490728114.0
mes,1214590050.0,2639456020.0,2594794854.0
es_finde,104968940.0,300780630.0,227438790.0
hora_sin,12316772599.0,21659354430.0,21464079622.0
hora_cos,21637259228.0,39876870298.0,34982690156.0
dia_semana_sin,2670464240.0,4248738774.0,7860354008.0
dia_semana_cos,2907028880.0,3291674068.0,8040357606.0
mes_sin,1028992670.0,1477311030.0,1982319590.0
mes_cos,6993359482.0,17456806986.0,11028601648.0
dia_anyo,10595277438.0,17331927330.0,26972283994.0
dia_anyo_sin,7312663857.0,9646755548.0,14068513392.0
lag_1,547177629508.0,327340180124.0,94200257454.0
lag_1h,10735663735.0,8886435950.0,8201662816.0
lag_1d,50295206902.0,37955020724.0,121535177846.0
lag_7d,48380379678.0,28771184782.0,95645107526.0
media_movil_1h,194693428740.0,113937663754.0,206692379862.0
media_movil_6h,18513095288.0,25975550634.0,19502776168.0
media_movil_1d,35638119688.0,88147561216.0,40918085800.0
std_movil_1d,16515807300.0,27375553840.0,34799061208.0
id_hogar,30139425779.0,62711571724.0,59807201680.0
